"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","6/134","77/9512",0.0779220779220779,5.53130451637914,4.772083510402,0.000730218872479311,0.0117747793187289,0.00999246878129583,"2064/5899/7039/4088/598/5970",6
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","10/134","212/9512",0.0471698113207547,3.34835257673895,4.13333050761499,0.000805375903833964,0.0122227637170096,0.0103726432196572,"4233/84612/7408/6237/1969/5899/5331/6714/1500/1945",10
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","7/134","112/9512",0.0625,4.4365671641791,4.37300824846554,0.000998831591482224,0.0143165861445785,0.0121495304694914,"3909/3918/3655/3949/598/5970/3914",7
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","10/134","232/9512",0.0431034482758621,3.05970149253731,3.79651101149847,0.00159472202431173,0.0216546464353909,0.018376852136113,"3675/3655/3694/6237/81/1729/3691/5499/54961/6714",10
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","9/134","203/9512",0.0443349753694581,3.14712153518124,3.69626846814586,0.00225141526014021,0.0290432568558087,0.024647072321535,"55971/2017/8797/8795/382/84790/5970/1364/6714",9
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","12/134","333/9512",0.036036036036036,2.55802070727444,3.45945776706092,0.00254405596805578,0.0312555447503995,0.0265244933010326,"3675/3909/3918/5663/3655/3694/84612/3691/8638/6934/5970/3914",12
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","6/134","99/9512",0.0606060606060606,4.30212573496156,3.94782187938984,0.00268327214279451,0.0314674642200447,0.0267043352010172,"3675/3655/3694/3691/7170/783",6
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","7/134","137/9512",0.0510948905109489,3.62697461597124,3.70203821463994,0.00317389040045126,0.0355039488123824,0.0301298300814995,"823/8797/8795/824/84790/598/5970",7
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","9/134","216/9512",0.0416666666666667,2.95771144278607,3.47886738067057,0.00341480816188619,0.0355039488123824,0.0301298300814995,"8797/8795/3949/5468/5331/598/5970/6714/30001",9
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","7/134","139/9512",0.0503597122302158,3.57478793084935,3.65527395673704,0.00344030511747891,0.0355039488123824,0.0301298300814995,"3875/5331/7039/3880/3866/3868/6714",7
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","6/134","105/9512",0.0571428571428571,4.05628997867804,3.76421144440455,0.00359893487458635,0.0357125076016646,0.0303068199965167,"3675/3655/3694/3691/7170/783",6
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","6/134","110/9512",0.0545454545454545,3.8719131614654,3.62132830264614,0.00452461373941372,0.0432351979543978,0.0366908248654212,"6513/3939/2064/80201/3099/5970",6
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","5/134","80/9512",0.0625,4.4365671641791,3.68959170679234,0.00532040298233898,0.0490237131944091,0.0416031511400942,"4233/2064/7039/598/6714",5
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","6/134","116/9512",0.0517241379310345,3.67164179104478,3.46055769810923,0.00585460873958928,0.052085829476346,0.0442017647126886,"1495/7408/81/50848/1364/1500",6
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","9/134","238/9512",0.0378151260504202,2.68430954471341,3.14548210153516,0.00641267648060533,0.0551490177332058,0.0468012879988038,"4233/6237/1969/5899/7039/382/598/5970/1945",9
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","8/134","204/9512",0.0392156862745098,2.78372841673983,3.07840675529064,0.00811759793906477,0.0675593634928617,0.0573331195696256,"5329/2017/4233/6385/6237/2064/5499/6714",8
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","9/134","251/9512",0.0358565737051793,2.54528156032586,2.9656911193336,0.00895691869293396,0.07221515696178,0.0612841805306008,"8797/8795/6237/6934/382/84790/5970/302/6281",9
"Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","3/134","32/9512",0.09375,6.65485074626866,3.83003147492248,0.0100619923979208,0.0768893653278107,0.0652508689848414,"2582/80201/3099",3
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","7/134","170/9512",0.0411764705882353,2.92291483757682,3.02395243425474,0.0101327070587037,0.0768893653278107,0.0652508689848414,"2950/4233/6934/7039/4088/598/1728",7
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","5/134","99/9512",0.0505050505050505,3.58510477913463,3.09059497629994,0.0128176523356802,0.0944844086458711,0.0801826070923753,"5331/2150/5499/5029/6714",5
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","5/134","101/9512",0.0495049504950495,3.51411260529038,3.03625261269056,0.013884218731936,0.0991004404618699,0.0840999249941613,"1729/5331/113026/4088/5970",5
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","4/134","67/9512",0.0597014925373134,4.23791490309646,3.17915883762277,0.0145652981512643,0.0991004404618699,0.0840999249941613,"221/3939/80201/3099",4
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","3/134","37/9512",0.0810810810810811,5.75554659136749,3.46435245324077,0.014980299139585,0.0991004404618699,0.0840999249941613,"2582/80201/3099",3
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","3/134","37/9512",0.0810810810810811,5.75554659136749,3.46435245324077,0.014980299139585,0.0991004404618699,0.0840999249941613,"5468/7170/6934",3
"Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","3/134","38/9512",0.0789473684210526,5.60408483896308,3.3992163080879,0.016099953218032,0.103844698256306,0.088126059719754,"2582/80201/3099",3
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","5/134","106/9512",0.0471698113207547,3.34835257673895,2.90619079443677,0.0168084554301174,0.105770280511471,0.0897601727718723,"2950/2064/6934/7039/5970",5
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","4/134","71/9512",0.0563380281690141,3.99915913390792,3.03200603353043,0.0176901052183324,0.108667789198328,0.0922190948725099,"4233/50848/5970/6714",4
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","6/134","150/9512",0.04,2.83940298507463,2.71424204649286,0.0191974214776956,0.115184528866174,0.0977494165816569,"1495/4233/2064/6934/4088/3728",6
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","6/134","157/9512",0.0382165605095541,2.71280539975283,2.58670158706107,0.0234339618771306,0.134354714762216,0.114017872992823,"823/6237/824/4088/5499/5970",6
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","6/134","157/9512",0.0382165605095541,2.71280539975283,2.58670158706107,0.0234339618771306,0.134354714762216,0.114017872992823,"1495/84612/6934/7534/4088/5499",6
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","4/134","78/9512",0.0512820512820513,3.64026023727516,2.79870082893919,0.0241005674227611,0.135172747718965,0.114712082927559,"1495/2017/4233/6714",4
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","9/134","300/9512",0.03,2.12955223880597,2.37629502746948,0.0257543452347121,0.141374916394803,0.119975449245691,"4233/6237/2064/1969/8986/7039/783/5970/1945",9
"Organismal Systems","Immune system","hsa04611","Platelet activation","5/134","126/9512",0.0396825396825397,2.81686804074864,2.45402373614533,0.0325036200376395,0.174706957702312,0.148262126487478,"8673/7408/5331/5499/6714",5
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","4/134","87/9512",0.0459770114942529,3.2636815920398,2.53538935116604,0.0341764302972079,0.17994936768734,0.152711009706106,"5899/6934/7039/4088",4
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","3/134","52/9512",0.0576923076923077,4.09529276693456,2.67527365176068,0.0366139421958099,0.188927941730379,0.160330525825863,"5331/80201/3099",3
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","5/134","142/9512",0.0352112676056338,2.49947445869245,2.15190861967581,0.0500639728558475,0.249109460320344,0.211402561185767,"2950/6385/5970/1728/6714",5
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","3/134","59/9512",0.0508474576271186,3.60941057424741,2.40322244059287,0.0502081082816198,0.249109460320344,0.211402561185767,"1495/2064/6934",3
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","4/134","102/9512",0.0392156862745098,2.78372841673983,2.16493260479371,0.0556838533587995,0.269973831357494,0.229108759373149,"3875/3880/3866/3868",4
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","2/134","28/9512",0.0714285714285714,5.07036247334755,2.57825996225417,0.0586731831743846,0.269973831357494,0.229108759373149,"2525/10331",2
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","5/134","149/9512",0.0335570469798658,2.38204948412301,2.03244869491456,0.0592099433334919,0.269973831357494,0.229108759373149,"6237/8612/5899/5331/382",5
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","4/134","105/9512",0.0380952380952381,2.70419331911869,2.09893172442985,0.0606917915454832,0.269973831357494,0.229108759373149,"10848/8915/598/5970",4
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","4/134","105/9512",0.0380952380952381,2.70419331911869,2.09893172442985,0.0606917915454832,0.269973831357494,0.229108759373149,"6237/598/5970/6714",4
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","4/134","105/9512",0.0380952380952381,2.70419331911869,2.09893172442985,0.0606917915454832,0.269973831357494,0.229108759373149,"6237/8915/5970/6714",4
NA,NA,"hsa04517","IgSF CAM signaling","8/134","302/9512",0.0264900662251656,1.88039932786399,1.85850500295018,0.0632337979888254,0.276513896290118,0.23465887567664,"84612/81/4008/81607/50848/382/84790/6714",8
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","7/134","254/9512",0.0275590551181102,1.95628158420496,1.84652179555389,0.0674308317302854,0.289952576440227,0.246063385963147,"2769/4233/2064/5331/113026/7039/4486",7
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","3/134","68/9512",0.0441176470588235,3.13169446883231,2.10868544947533,0.070759928034505,0.299279695621349,0.253978689062589,"6934/5970/3728",3
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","5/134","160/9512",0.03125,2.21828358208955,1.85766119718239,0.0753879150589,0.305445881226338,0.259211518951768,"1001/3655/6385/50848/1364",5
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","3/134","70/9512",0.0428571428571429,3.04221748400853,2.04988448201434,0.075769520924363,0.305445881226338,0.259211518951768,"6513/5970/51703",3
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","3/134","70/9512",0.0428571428571429,3.04221748400853,2.04988448201434,0.075769520924363,0.305445881226338,0.259211518951768,"4233/6513/7039",3
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","3/134","73/9512",0.0410958904109589,2.91719484767941,1.96550913233192,0.0835690486380834,0.331704839209623,0.281495742780912,"4233/2064/7039",3
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","2/134","35/9512",0.0571428571428571,4.05628997867804,2.16522740418819,0.0867218645808761,0.339003652452515,0.287689758099238,"80201/3099",2
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","3/134","75/9512",0.04,2.83940298507463,1.91161714476807,0.0889528641731824,0.34253490980121,0.290686500361696,"2950/2064/598",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","2/134","36/9512",0.0555555555555556,3.94361525704809,2.11509629954809,0.0910051320152978,0.343866516376924,0.291816545925745,"11227/10331",2
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","4/134","122/9512",0.0327868852459016,2.32737949596281,1.76381324624029,0.0933509038090397,0.343866516376924,0.291816545925745,"6513/5331/113026/6714",4
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","3/134","77/9512",0.038961038961039,2.76565225818957,1.85947335826889,0.0944790599773053,0.343866516376924,0.291816545925745,"4088/598/5970",3
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","2/134","37/9512",0.0540540540540541,3.83703106091166,2.06673940144561,0.0953494081796243,0.343866516376924,0.291816545925745,"5331/2150",2
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","3/134","78/9512",0.0384615384615385,2.73019517795637,1.83402325665083,0.097294199679487,0.343866516376924,0.291816545925745,"8821/5331/113026",3
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","5/134","173/9512",0.0289017341040462,2.05159175222155,1.66851613554706,0.0972955647113001,0.343866516376924,0.291816545925745,"8797/8795/56649/5970/402569",5
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","3/134","79/9512",0.0379746835443038,2.69563574532401,1.80897084527985,0.100143302424671,0.349148270615745,0.296298817984802,"221/2950/29785",3
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","2/134","40/9512",0.05,3.54925373134328,1.93122373553886,0.10872320605859,0.374007828841548,0.317395464704374,"80201/3099",2
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","4/134","130/9512",0.0307692307692308,2.1841561423651,1.62496237544253,0.11109804463264,0.377148625200278,0.320060848803173,"2769/5331/5970/6714",4
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","2/134","41/9512",0.0487804878048781,3.46268656716418,1.888919836548,0.113286721773262,0.377603543368891,0.320446907469316,"2064/6714",2
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","5/134","182/9512",0.0274725274725275,1.95013941282598,1.54700807784784,0.114159210785944,0.377603543368891,0.320446907469316,"5994/3656/8915/5970/6714",5
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","3/134","86/9512",0.0348837209302326,2.47622353349531,1.64379633632507,0.120990883295021,0.390195598626442,0.331132943754794,"2064/7039/6714",3
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","3/134","86/9512",0.0348837209302326,2.47622353349531,1.64379633632507,0.120990883295021,0.390195598626442,0.331132943754794,"3783/6513/5331",3
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","4/134","138/9512",0.0289855072463768,2.05753839498161,1.49583464693479,0.130231224558397,0.41481056711193,0.35202202349768,"9322/80201/3099/5499",4
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","3/134","92/9512",0.0326086956521739,2.31473069435432,1.51466168776705,0.140015020961827,0.440208518840125,0.373575568823933,"5331/84790/6714",3
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","2/134","47/9512",0.0425531914893617,3.02064147348365,1.65992420644331,0.141617469239265,0.440208518840125,0.373575568823933,"80201/3099",2
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","6/134","252/9512",0.0238095238095238,1.69012082444918,1.32718139625081,0.145003918598954,0.444602856397387,0.377304749615081,"84612/10617/3949/382/4088/6714",6
NA,NA,"hsa03272","Virion - Hepatitis viruses","2/134","48/9512",0.0416666666666667,2.95771144278607,1.62533283088466,0.146477685247201,0.444602856397387,0.377304749615081,"3949/1364",2
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","5/134","201/9512",0.0248756218905473,1.76579787629019,1.31166943578408,0.153951286723101,0.453250391073566,0.384643334733994,"4233/5468/598/5970/3728",5
"Metabolism","Metabolism of cofactors and vitamins","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","1/134","12/9512",0.0833333333333333,5.91542288557214,2.03657347635973,0.15663116439489,0.453250391073566,0.384643334733994,"1728",1
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","1/134","12/9512",0.0833333333333333,5.91542288557214,2.03657347635973,0.15663116439489,0.453250391073566,0.384643334733994,"81607",1
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","3/134","98/9512",0.0306122448979592,2.17301248857752,1.39520798320009,0.159972737872706,0.453250391073566,0.384643334733994,"8821/5331/113026",3
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","2/134","51/9512",0.0392156862745098,2.78372841673983,1.52670691889969,0.161255823884863,0.453250391073566,0.384643334733994,"706/3949",2
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","5/134","205/9512",0.024390243902439,1.73134328358209,1.26532977206821,0.162991638977082,0.453250391073566,0.384643334733994,"6513/5331/4088/5499/5970",5
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","3/134","99/9512",0.0303030303030303,2.15106286748078,1.37614117012014,0.163380954921867,0.453250391073566,0.384643334733994,"638/2064/6714",3
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","3/134","99/9512",0.0303030303030303,2.15106286748078,1.37614117012014,0.163380954921867,0.453250391073566,0.384643334733994,"7408/8612/382",3
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","4/134","154/9512",0.025974025974026,1.84376817212638,1.26183437724867,0.172171811063078,0.472556672917809,0.401027286686676,"7170/5331/783/5499",4
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","4/134","155/9512",0.0258064516129032,1.83187289359653,1.24814454588325,0.174937633064787,0.475093782428578,0.403180362077292,"5331/783/5499/6714",4
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","3/134","103/9512",0.029126213592233,2.06752644544269,1.30207468782957,0.177226693546301,0.476296738905684,0.404201230895072,"2769/5331/5970",3
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","4/134","159/9512",0.0251572327044025,1.78578804092744,1.19436999835158,0.186152231691114,0.490074242615382,0.415893278106893,"823/8797/8795/824",4
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","4/134","159/9512",0.0251572327044025,1.78578804092744,1.19436999835158,0.186152231691114,0.490074242615382,0.415893278106893,"3949/7534/5970/1364",4
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","3/134","107/9512",0.0280373831775701,1.99023573720184,1.23129314183213,0.191385575650255,0.49416900195997,0.419368226877494,"6513/3939/5331",3
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","2/134","57/9512",0.0350877192982456,2.49070437287248,1.34930013092777,0.191538372852701,0.49416900195997,0.419368226877494,"64834/51703",2
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","4/134","163/9512",0.0245398773006135,1.74196502151818,1.14210236259411,0.19759578578021,0.50226818721235,0.426241464464173,"7534/4088/5970/6714",4
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","3/134","109/9512",0.0275229357798165,1.95371765028071,1.19704431063102,0.198571143781627,0.50226818721235,0.426241464464173,"6513/5499/5970",3
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","1/134","16/9512",0.0625,4.4365671641791,1.64446581689764,0.203224785040259,0.509048490683368,0.431995455169892,"221",1
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","5/134","224/9512",0.0223214285714286,1.58448827292111,1.05815450095428,0.208635278546664,0.517575979471531,0.439232165361397,"706/6513/4088/598/5970",5
NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","1/134","17/9512",0.0588235294117647,4.17559262510975,1.5664341283237,0.214468243212607,0.523671447547903,0.444404982007196,"5097",1
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","4/134","169/9512",0.0236686390532544,1.68012010951161,1.06634115212628,0.215151835039061,0.523671447547903,0.444404982007196,"55054/8673/6237/598",4
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","2/134","62/9512",0.032258064516129,2.28984111699567,1.21794179323337,0.217302474664094,0.523962976292862,0.444652382982111,"5663/51107",2
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","1/134","18/9512",0.0555555555555556,3.94361525704809,1.49418048498953,0.22555421008038,0.53882394630313,0.457263895679523,"51703",1
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","4/134","174/9512",0.0229885057471264,1.6318407960199,1.00546215510259,0.230102046138922,0.541198465153109,0.459278991235605,"5663/6934/5331/4088",4
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","2/134","65/9512",0.0307692307692308,2.1841561423651,1.14506217428721,0.232908966646258,0.541198465153109,0.459278991235605,"3949/5331",2
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","2/134","65/9512",0.0307692307692308,2.1841561423651,1.14506217428721,0.232908966646258,0.541198465153109,0.459278991235605,"3783/5331",2
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","3/134","119/9512",0.0252100840336134,1.78953969647561,1.03599024412619,0.235384431706542,0.541198465153109,0.459278991235605,"64285/8986/5970",3
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","2/134","66/9512",0.0303030303030303,2.15106286748078,1.12165014562054,0.238127778115397,0.541198465153109,0.459278991235605,"4088/5970",2
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","3/134","120/9512",0.025,1.77462686567164,1.02073853838138,0.239134205532769,0.541198465153109,0.459278991235605,"5663/3656/5970",3
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","2/134","67/9512",0.0298507462686567,2.11895745154823,1.09865255186647,0.243352828460769,0.545956780372855,0.463317055559175,"5331/5499",2
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","2/134","68/9512",0.0294117647058824,2.08779631255487,1.07605488957987,0.248582916352474,0.552882693266709,0.469194615256938,"29785/195814",2
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","4/134","183/9512",0.0218579234972678,1.55158633064187,0.900599847608885,0.25763045342936,0.56810817935705,0.48211546840582,"598/5499/5970/6714",4
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","2/134","71/9512",0.028169014084507,1.99957956695396,1.01052699862881,0.264291869864986,0.577858495128529,0.490389910186594,"5970/6714",2
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","1/134","22/9512",0.0454545454545455,3.22659430122117,1.24976887119034,0.26836650739431,0.58183662947674,0.493765887112043,"221",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","2/134","73/9512",0.0273972602739726,1.94479656511961,0.968605918791275,0.274769084402419,0.58922697372641,0.500037578682551,"221/2950",2
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","4/134","189/9512",0.0211640211640212,1.50232962173261,0.833781441933873,0.276342883026727,0.58922697372641,0.500037578682551,"55054/5331/598/5970",4
"Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/134","24/9512",0.0416666666666667,2.95771144278607,1.14782938296953,0.288883223988819,0.609280872168272,0.517055982909019,"9957",1
